State,District,Water_Source,pH,Dissolved_Oxygen,BOD,COD,TDS,Conductivity,Turbidity,Nitrate,Phosphate,Temperature,Hardness,Chloride,Sulfate,WQI,Quality
Tamil Nadu,Chennai,Reservoir,7.4,8.04,3.8,26.18,133,683,5.6,8.21,0.95,27.6,78,63,160,62,Moderate
Tamil Nadu,Madurai,Groundwater,8.27,6.85,6.22,36.31,614,730,7.37,23.71,2.42,23.9,164,134,32,14,Unsafe
Maharashtra,Pune,River,8.23,5.54,1.31,19.93,511,859,5.66,25.93,2.11,28.3,294,146,107,24,Unsafe
Delhi,New Delhi,Groundwater,7.27,8.19,8.0,11.32,132,218,8.08,11.18,1.69,30.5,349,26,146,49,Poor
Maharashtra,Mumbai,Lake,6.4,8.64,2.21,26.67,622,483,4.06,12.87,1.33,25.3,106,44,27,45,Poor
Tamil Nadu,Coimbatore,Reservoir,8.01,8.96,1.56,10.91,662,333,7.56,23.55,0.19,18.5,276,54,55,34,Unsafe
Uttar Pradesh,Varanasi,Reservoir,7.5,6.63,4.86,34.02,508,319,9.02,27.37,0.8,28.2,349,57,210,21,Unsafe
Gujarat,Vadodara,River,8.37,9.18,5.61,36.1,648,631,3.13,35.39,1.96,28.1,346,95,182,27,Unsafe
Gujarat,Ahmedabad,Groundwater,7.0,5.36,4.73,35.09,486,758,3.94,16.05,1.09,31.5,222,56,36,32,Unsafe
Andhra Pradesh,Guntur,River,7.37,9.48,3.31,33.33,588,817,4.6,28.23,1.06,20.5,262,23,183,45,Poor
Kerala,Kozhikode,Groundwater,6.81,8.76,1.55,16.01,629,718,4.79,22.95,1.41,23.9,198,68,140,43,Poor
Tamil Nadu,Madurai,River,7.91,5.59,5.67,13.25,218,312,7.13,16.77,0.36,22.1,152,132,95,32,Unsafe
Maharashtra,Mumbai,Lake,7.38,5.44,4.02,21.46,182,768,1.06,14.12,2.47,18.9,237,59,198,53,Poor
Kerala,Kozhikode,River,7.44,5.39,6.07,39.1,368,472,9.72,35.48,1.59,27.5,164,95,207,13,Unsafe
West Bengal,Siliguri,River,7.08,7.03,5.49,13.06,596,491,4.42,27.39,1.96,28.4,281,137,182,29,Unsafe
Delhi,New Delhi,River,7.54,8.52,3.91,17.04,389,763,8.91,35.31,1.48,23.1,98,26,75,33,Unsafe
Maharashtra,Pune,Groundwater,7.4,6.83,6.94,42.52,591,396,6.79,15.08,1.67,27.3,285,36,152,26,Unsafe
Karnataka,Bengaluru,Groundwater,7.7,8.9,3.9,25.63,119,520,5.5,22.36,1.99,18.2,203,90,146,58,Poor
Karnataka,Mangaluru,Reservoir,6.53,4.67,4.36,19.95,409,779,6.92,20.5,0.85,27.7,246,163,157,21,Unsafe
Maharashtra,Mumbai,Reservoir,8.2,8.48,3.12,33.28,312,500,1.4,25.86,2.39,32.4,263,41,75,52,Poor
Gujarat,Vadodara,Reservoir,7.29,5.04,3.23,25.65,262,434,8.56,1.41,1.17,33.7,349,123,96,42,Poor
Tamil Nadu,Coimbatore,Reservoir,7.63,4.95,3.21,43.96,466,371,8.99,12.42,1.23,32.9,287,166,142,24,Unsafe
Delhi,New Delhi,Lake,8.24,7.31,3.48,12.31,531,452,9.51,16.96,1.62,31.3,339,160,74,25,Unsafe
Gujarat,Ahmedabad,Groundwater,8.46,7.01,1.65,13.66,585,880,3.09,17.77,0.4,28.8,247,169,150,35,Unsafe
Andhra Pradesh,Vijayawada,River,7.6,6.75,7.77,24.96,596,518,4.7,5.45,0.92,34.4,260,161,48,31,Unsafe
Karnataka,Mysuru,Reservoir,6.37,6.93,2.58,36.45,600,586,4.77,37.7,0.25,30.9,294,92,61,22,Unsafe
Karnataka,Mysuru,River,8.42,7.68,5.2,10.06,264,380,3.58,35.29,1.98,21.9,184,149,126,35,Unsafe
Kerala,Kochi,River,7.8,7.12,2.88,27.54,183,865,1.48,20.87,2.23,20.1,282,54,59,56,Poor
Tamil Nadu,Chennai,Reservoir,7.71,7.93,1.5,14.18,196,464,9.67,22.08,2.17,35.0,141,170,121,46,Poor
West Bengal,Kolkata,River,6.48,9.02,5.93,27.9,514,444,4.15,4.01,0.28,29.4,243,147,89,49,Poor
Delhi,New Delhi,River,6.64,5.65,7.01,33.26,645,587,5.27,35.57,2.22,21.9,127,26,206,8,Unsafe
Tamil Nadu,Chennai,River,6.47,9.11,1.91,44.51,206,288,7.71,1.35,1.49,26.7,222,81,60,64,Moderate
Andhra Pradesh,Visakhapatnam,Reservoir,8.12,5.1,2.09,40.87,132,202,1.14,7.91,0.61,21.7,219,132,102,54,Poor
Gujarat,Surat,Reservoir,7.33,4.55,2.98,34.49,225,383,8.05,23.65,0.86,33.8,313,158,88,31,Unsafe
West Bengal,Siliguri,Groundwater,6.52,4.56,5.7,22.6,567,218,9.9,33.88,0.46,25.6,202,32,95,0,Unsafe
Telangana,Warangal,River,7.35,8.77,2.67,20.38,480,213,7.31,11.11,1.21,20.6,256,92,105,50,Poor
Kerala,Thiruvananthapuram,Reservoir,7.13,8.0,6.08,30.88,161,721,2.25,16.16,2.5,26.0,84,133,122,60,Moderate
Andhra Pradesh,Visakhapatnam,Lake,6.9,8.45,4.32,13.98,424,748,9.24,4.67,1.01,29.3,199,71,190,45,Poor
West Bengal,Kolkata,Reservoir,8.46,5.73,7.86,10.01,410,375,8.75,39.26,1.84,18.8,142,79,136,1,Unsafe
Kerala,Kozhikode,River,6.91,5.46,1.96,19.59,508,733,2.9,8.84,1.0,24.5,123,105,185,43,Poor
Uttar Pradesh,Lucknow,Reservoir,8.39,4.64,6.16,15.75,392,479,4.01,21.48,1.23,27.4,227,30,56,19,Unsafe
Telangana,Warangal,River,6.96,8.06,1.45,32.34,551,687,3.4,39.49,1.1,19.1,263,93,159,39,Unsafe
Kerala,Kochi,Groundwater,8.5,6.07,6.11,33.75,680,648,9.78,3.62,1.56,20.9,212,43,57,11,Unsafe
Karnataka,Bengaluru,Lake,7.94,8.81,4.64,19.45,218,317,8.83,13.74,1.65,34.4,76,147,169,48,Poor
Maharashtra,Nagpur,Groundwater,6.89,6.56,2.14,14.14,689,579,8.1,16.83,1.97,23.4,76,154,219,26,Unsafe
Tamil Nadu,Chennai,Groundwater,7.17,6.7,5.11,18.99,89,755,7.96,18.09,1.79,27.4,158,105,39,47,Poor
Telangana,Hyderabad,Reservoir,8.36,7.41,5.52,25.49,420,318,4.19,32.24,0.34,21.8,328,162,155,27,Unsafe
Karnataka,Mangaluru,Groundwater,7.32,4.58,2.68,31.1,446,565,4.84,37.22,1.91,27.0,96,35,68,22,Unsafe
Maharashtra,Mumbai,Reservoir,7.83,8.33,1.51,14.42,508,543,9.08,15.8,1.46,27.0,151,64,133,39,Unsafe
Tamil Nadu,Madurai,River,6.87,7.71,6.85,16.46,82,532,6.88,37.56,2.41,22.8,307,28,152,38,Unsafe
Andhra Pradesh,Visakhapatnam,Reservoir,7.29,5.82,3.27,43.3,101,734,5.02,16.11,0.94,30.1,202,151,103,52,Poor
Andhra Pradesh,Guntur,Reservoir,8.17,6.4,3.69,18.22,190,290,7.15,39.03,1.34,20.7,266,30,190,27,Unsafe
West Bengal,Kolkata,River,8.5,7.74,6.18,15.62,624,315,4.72,26.62,2.32,23.5,132,136,122,20,Unsafe
Karnataka,Bengaluru,River,8.24,8.17,6.99,15.81,580,812,8.96,3.41,1.69,28.4,257,124,34,28,Unsafe
Tamil Nadu,Madurai,Groundwater,6.71,5.41,4.46,13.53,628,749,9.94,30.24,1.79,31.5,66,44,142,6,Unsafe
Gujarat,Vadodara,Reservoir,8.28,5.88,5.25,36.07,472,627,0.71,30.53,0.26,29.4,250,61,180,27,Unsafe
Andhra Pradesh,Guntur,Reservoir,7.23,6.96,5.71,28.63,274,792,5.79,25.22,1.65,24.9,155,76,204,40,Poor
Uttar Pradesh,Kanpur,River,6.93,7.1,7.48,42.19,416,478,3.31,19.9,0.8,19.2,206,81,131,37,Unsafe
Andhra Pradesh,Visakhapatnam,Reservoir,6.32,5.84,1.22,10.83,598,424,7.18,4.34,1.61,19.8,245,129,70,31,Unsafe
West Bengal,Kolkata,Lake,8.53,8.67,3.15,23.05,469,770,0.86,39.52,1.75,27.5,137,133,59,38,Unsafe
Tamil Nadu,Chennai,River,8.33,8.86,6.63,43.01,319,486,4.49,4.29,2.25,30.1,254,114,174,50,Poor
Kerala,Kozhikode,Lake,8.28,5.01,5.36,23.33,359,357,3.49,7.96,0.36,28.0,138,81,66,32,Unsafe
Andhra Pradesh,Vijayawada,Lake,7.44,6.52,7.49,17.09,412,895,5.82,12.57,0.97,24.4,114,116,80,33,Unsafe
Telangana,Nizamabad,Groundwater,7.12,7.34,4.64,39.95,322,798,6.81,2.2,1.15,24.1,254,42,25,51,Poor
Maharashtra,Mumbai,Lake,6.76,4.56,7.26,22.24,645,487,4.87,27.37,1.27,30.0,283,176,156,8,Unsafe
Andhra Pradesh,Guntur,Reservoir,7.69,4.73,4.4,43.35,533,695,6.36,7.42,2.18,27.5,149,53,92,25,Unsafe
Karnataka,Bengaluru,Lake,6.62,7.11,1.11,14.38,363,300,3.72,38.54,2.06,28.5,139,43,198,39,Unsafe
West Bengal,Kolkata,Groundwater,7.35,7.51,7.07,44.75,89,564,9.65,14.92,1.85,29.4,319,140,136,44,Poor
Karnataka,Mangaluru,Lake,6.61,8.56,2.75,34.89,566,580,1.99,20.81,2.41,18.8,104,101,124,48,Poor
Maharashtra,Nagpur,Lake,6.5,4.97,6.4,15.1,521,191,4.51,22.77,1.16,34.3,238,171,48,17,Unsafe
Delhi,New Delhi,Lake,6.46,6.31,1.02,26.12,359,809,6.93,21.37,1.26,25.9,119,149,80,37,Unsafe
Maharashtra,Nagpur,River,7.36,7.38,5.96,43.81,388,614,5.49,31.65,1.62,19.4,179,167,108,33,Unsafe
Uttar Pradesh,Lucknow,Lake,7.54,8.86,4.54,25.62,91,752,3.28,17.77,1.45,30.7,196,136,210,65,Moderate
Kerala,Kochi,Lake,7.41,7.8,4.82,35.26,307,603,3.67,19.91,0.57,27.8,65,139,39,50,Poor
Maharashtra,Mumbai,Lake,8.45,8.29,7.35,11.53,461,485,1.62,21.38,2.22,22.0,340,43,57,36,Unsafe
Karnataka,Mysuru,Reservoir,7.69,4.89,5.36,38.28,504,409,8.73,28.02,2.2,32.0,306,24,147,10,Unsafe
Tamil Nadu,Chennai,Reservoir,6.66,8.1,7.09,31.24,605,816,7.24,1.65,0.93,26.7,304,128,132,34,Unsafe
Maharashtra,Nagpur,River,6.57,4.9,7.92,17.18,356,538,1.52,21.6,0.14,19.5,300,149,25,28,Unsafe
Telangana,Nizamabad,Lake,6.88,4.53,2.81,12.99,355,646,6.24,18.58,1.99,28.1,96,137,22,30,Unsafe
Kerala,Thiruvananthapuram,River,7.09,7.36,1.36,40.51,588,401,5.13,39.12,0.56,27.2,147,177,170,32,Unsafe
Delhi,New Delhi,Groundwater,7.97,7.48,2.68,41.85,82,555,5.49,39.66,2.35,32.9,70,94,34,44,Poor
Maharashtra,Mumbai,River,8.24,6.07,5.11,16.53,225,363,8.9,6.7,2.24,20.9,120,142,84,34,Unsafe
Tamil Nadu,Coimbatore,Groundwater,8.35,5.62,4.75,11.54,461,780,6.6,4.19,2.09,23.0,335,155,175,28,Unsafe
Delhi,New Delhi,River,6.86,9.41,1.3,41.57,444,735,3.22,22.95,1.68,34.4,81,99,111,58,Poor
Maharashtra,Nagpur,River,7.48,6.21,6.51,38.9,100,816,7.53,17.24,1.99,25.8,195,50,27,40,Poor
Delhi,New Delhi,Groundwater,8.58,8.94,3.61,38.96,199,571,7.74,32.13,2.29,31.2,219,92,198,39,Unsafe
Maharashtra,Mumbai,Reservoir,7.63,7.63,1.94,32.04,87,268,9.04,3.65,1.31,34.3,280,120,93,59,Poor
Karnataka,Mangaluru,Reservoir,8.42,4.63,5.2,29.27,613,640,1.93,26.38,0.99,22.4,155,80,164,13,Unsafe
West Bengal,Siliguri,Groundwater,7.29,5.77,6.79,15.89,438,434,3.71,38.31,0.98,30.8,111,110,162,22,Unsafe
Gujarat,Ahmedabad,Lake,7.65,6.3,1.62,38.55,463,797,4.4,2.71,1.26,22.5,334,97,154,48,Poor
Delhi,New Delhi,Reservoir,8.07,5.59,6.39,20.91,120,537,8.62,39.21,0.53,28.7,255,169,110,19,Unsafe
Telangana,Hyderabad,Lake,8.43,4.98,2.09,43.43,691,384,9.66,6.82,0.8,22.5,208,157,134,13,Unsafe
Andhra Pradesh,Visakhapatnam,Reservoir,6.73,6.22,2.94,36.79,191,530,4.34,10.69,1.45,22.0,192,127,144,52,Poor
Karnataka,Mangaluru,Reservoir,6.65,7.09,7.21,34.73,520,224,9.42,29.75,2.05,22.0,279,146,27,14,Unsafe
West Bengal,Kolkata,River,7.4,8.82,6.96,27.99,668,329,1.39,19.25,2.09,20.9,288,73,153,41,Poor
Karnataka,Mangaluru,River,6.63,7.52,6.42,30.4,306,539,7.13,5.97,1.93,18.4,112,153,46,43,Poor
Kerala,Kochi,Groundwater,7.3,5.04,3.52,16.21,213,385,5.43,13.33,2.27,29.5,122,114,84,43,Poor
Uttar Pradesh,Lucknow,River,6.45,8.84,6.01,38.57,629,848,6.72,14.26,1.96,33.5,307,42,157,32,Unsafe
Andhra Pradesh,Vijayawada,Lake,7.05,7.84,6.69,17.21,85,244,8.76,37.39,1.25,33.6,79,164,206,37,Unsafe
Telangana,Warangal,Groundwater,7.59,5.11,3.96,39.62,160,506,6.82,7.88,2.06,29.0,231,180,204,43,Poor
Delhi,New Delhi,Lake,8.2,9.09,1.67,36.33,369,739,7.14,27.02,1.54,27.7,93,35,63,44,Poor
Delhi,New Delhi,River,6.87,8.15,3.74,41.52,554,587,7.9,2.7,0.14,26.5,67,34,126,43,Poor
Karnataka,Mysuru,Reservoir,7.55,6.5,5.3,25.23,190,614,7.69,25.43,2.14,23.4,162,35,210,35,Unsafe
West Bengal,Kolkata,Groundwater,7.44,8.02,6.19,34.16,561,790,6.34,12.83,2.5,22.2,225,130,43,36,Unsafe
Delhi,New Delhi,Reservoir,7.08,7.71,7.24,13.14,687,554,3.83,30.1,0.42,30.0,207,107,63,25,Unsafe
Delhi,New Delhi,River,8.14,8.46,3.41,31.91,145,272,4.98,4.71,1.32,34.5,292,145,195,62,Moderate
Tamil Nadu,Chennai,Lake,6.85,8.5,7.39,36.92,645,580,7.26,26.25,1.38,33.7,246,21,111,23,Unsafe
Uttar Pradesh,Varanasi,Lake,7.95,9.39,2.7,24.22,248,522,7.76,22.42,0.85,26.3,312,111,154,51,Poor
West Bengal,Siliguri,Groundwater,6.47,9.29,7.68,29.27,437,348,8.23,29.75,1.9,31.2,189,111,156,28,Unsafe
Telangana,Warangal,Lake,7.32,8.48,1.5,38.81,196,564,2.97,4.02,0.94,22.6,268,131,176,75,Good
Uttar Pradesh,Varanasi,Reservoir,7.9,5.41,7.76,29.37,509,744,4.34,13.0,1.62,27.1,139,54,190,22,Unsafe
Karnataka,Bengaluru,Lake,8.25,5.4,3.61,21.34,153,497,4.67,15.24,1.55,18.2,171,123,122,40,Poor
Andhra Pradesh,Vijayawada,Groundwater,7.42,7.89,1.29,34.29,182,212,8.64,6.05,0.94,31.0,254,81,156,60,Moderate
Delhi,New Delhi,Reservoir,6.79,8.47,5.16,22.5,194,311,8.24,37.33,1.89,22.8,235,152,162,38,Unsafe
Delhi,New Delhi,Groundwater,7.64,6.73,6.71,40.56,276,299,8.4,26.93,1.97,28.1,171,87,194,27,Unsafe
Tamil Nadu,Coimbatore,Reservoir,6.95,9.26,3.47,41.69,462,675,6.86,13.04,1.29,28.4,350,42,36,51,Poor
Gujarat,Surat,Lake,7.61,4.53,7.53,27.34,168,800,3.56,9.39,0.53,32.1,239,134,211,38,Unsafe
Telangana,Hyderabad,Groundwater,8.13,4.94,6.25,11.74,489,277,7.41,17.7,0.17,33.6,278,92,102,14,Unsafe
Gujarat,Ahmedabad,Lake,7.65,7.44,6.09,27.7,616,616,7.61,7.04,0.17,34.2,110,27,113,30,Unsafe
Uttar Pradesh,Kanpur,Groundwater,6.97,7.76,6.52,38.29,160,219,7.45,23.73,2.36,21.8,119,171,201,43,Poor
Andhra Pradesh,Vijayawada,Reservoir,6.89,4.62,6.66,36.43,348,611,8.28,12.41,0.94,23.5,270,112,182,23,Unsafe
Kerala,Kochi,Lake,8.06,7.94,4.33,37.88,350,640,8.92,30.56,2.02,28.2,90,151,76,29,Unsafe
Telangana,Hyderabad,Lake,7.33,7.7,3.21,29.58,346,489,8.26,34.01,0.7,34.9,310,155,24,36,Unsafe
Maharashtra,Mumbai,River,6.61,6.85,7.26,24.15,283,597,6.53,15.38,0.95,21.4,71,78,96,35,Unsafe
Karnataka,Mangaluru,Groundwater,6.32,8.97,4.75,41.99,202,456,3.15,2.51,1.0,26.5,191,145,170,65,Moderate
Uttar Pradesh,Varanasi,Lake,8.07,5.52,2.02,26.82,292,344,7.44,4.73,1.55,34.2,82,124,111,40,Poor
Kerala,Kozhikode,Lake,6.4,6.76,1.29,25.9,450,471,9.76,13.91,0.16,22.9,65,49,189,32,Unsafe
Maharashtra,Mumbai,Groundwater,8.3,7.29,1.52,35.26,390,802,0.58,34.05,2.45,25.3,155,111,202,43,Poor
Delhi,New Delhi,Reservoir,6.63,8.6,2.89,28.97,412,468,8.55,3.87,1.36,29.4,207,115,198,49,Poor
Andhra Pradesh,Vijayawada,River,6.49,6.73,4.43,23.82,206,897,8.8,34.12,0.82,18.4,343,73,62,28,Unsafe
Karnataka,Bengaluru,River,7.9,5.55,5.85,44.05,130,202,9.21,39.75,1.44,21.5,93,146,54,19,Unsafe
Uttar Pradesh,Varanasi,Lake,6.79,6.32,7.01,14.26,441,290,3.15,12.4,1.36,30.5,198,33,172,36,Unsafe
Kerala,Kochi,Groundwater,6.5,4.93,7.1,31.72,290,453,4.13,7.71,0.98,31.7,96,56,26,33,Unsafe
Karnataka,Bengaluru,Reservoir,7.06,8.53,3.65,36.81,432,813,3.85,1.76,2.14,27.1,72,145,87,60,Moderate
Maharashtra,Nagpur,Groundwater,7.98,7.63,4.58,23.26,343,494,1.55,16.64,0.88,24.0,280,148,117,50,Poor
Tamil Nadu,Coimbatore,Reservoir,7.07,8.7,1.97,39.13,297,615,5.4,20.89,1.89,34.3,298,163,102,57,Poor
Telangana,Warangal,Groundwater,6.99,6.97,7.46,17.71,435,776,5.71,4.26,0.95,26.8,113,92,128,39,Unsafe
West Bengal,Kolkata,Groundwater,6.7,5.73,5.86,12.46,666,303,2.5,19.14,0.64,22.7,274,139,128,24,Unsafe
West Bengal,Kolkata,Lake,7.89,8.93,4.13,33.37,304,663,5.19,3.71,0.5,29.2,330,108,110,58,Poor
Tamil Nadu,Coimbatore,River,7.83,8.35,2.7,18.48,608,240,7.11,23.48,0.71,21.8,180,106,143,33,Unsafe
Andhra Pradesh,Visakhapatnam,Lake,6.93,5.51,2.62,23.23,312,754,0.8,16.47,0.92,28.9,275,138,40,50,Poor
Maharashtra,Mumbai,Lake,7.61,8.29,7.95,31.95,378,667,8.37,25.41,0.8,32.3,70,135,131,30,Unsafe
Delhi,New Delhi,Lake,6.56,8.32,4.37,35.26,432,772,5.81,2.04,0.9,18.4,195,82,171,50,Poor
Andhra Pradesh,Visakhapatnam,Reservoir,7.45,6.65,3.06,20.48,440,821,8.18,34.28,0.53,30.8,233,114,20,26,Unsafe
Telangana,Hyderabad,River,8.57,8.5,1.05,34.15,660,363,4.43,7.15,0.65,34.9,281,141,137,43,Poor
Kerala,Thiruvananthapuram,Groundwater,7.67,5.26,2.0,30.71,426,790,5.21,29.32,2.45,32.5,244,51,33,28,Unsafe
West Bengal,Siliguri,River,8.23,4.75,6.08,26.99,113,341,2.02,37.32,2.23,32.8,321,98,183,28,Unsafe
Uttar Pradesh,Lucknow,Reservoir,7.51,6.93,3.81,40.26,547,454,0.6,26.24,1.94,29.1,216,91,178,40,Poor
Maharashtra,Nagpur,Groundwater,6.51,8.86,7.54,36.59,637,273,5.59,28.08,0.19,33.5,146,173,136,25,Unsafe
Delhi,New Delhi,Lake,7.23,8.8,7.75,28.65,247,516,2.07,14.47,2.4,34.9,280,49,179,59,Poor
West Bengal,Siliguri,Reservoir,6.89,5.34,4.58,40.02,507,648,5.79,19.84,2.18,26.8,88,97,188,25,Unsafe
Delhi,New Delhi,River,7.76,5.02,4.44,34.1,105,531,7.89,5.78,2.25,33.6,240,22,98,41,Poor
Telangana,Warangal,Lake,8.31,7.64,3.51,17.52,210,238,1.88,32.49,1.86,30.9,262,28,35,46,Poor
West Bengal,Siliguri,Reservoir,8.17,4.78,3.48,27.79,325,828,8.91,19.51,1.22,32.6,227,161,208,21,Unsafe
Delhi,New Delhi,Reservoir,7.25,4.91,7.48,42.96,323,490,3.48,6.74,0.99,18.2,336,166,163,38,Unsafe
Delhi,New Delhi,River,6.34,5.73,1.83,36.41,442,413,0.85,36.08,0.88,34.6,343,86,143,33,Unsafe
Karnataka,Bengaluru,Lake,7.22,6.7,4.02,14.56,109,476,4.17,28.21,1.15,19.3,127,126,54,50,Poor
Gujarat,Vadodara,Lake,7.71,8.21,7.08,42.61,547,671,6.71,14.27,0.28,22.7,69,26,81,32,Unsafe
Delhi,New Delhi,River,8.07,6.08,5.81,26.17,200,465,2.77,22.59,0.65,30.8,279,73,150,39,Unsafe
Gujarat,Vadodara,Lake,8.07,4.76,7.78,29.11,145,303,8.72,36.53,0.3,30.2,116,144,120,12,Unsafe
Delhi,New Delhi,Lake,6.89,6.68,5.88,18.58,89,442,6.97,15.47,1.64,28.1,126,138,63,46,Poor
Gujarat,Ahmedabad,Lake,7.3,8.8,6.45,25.88,483,601,7.16,12.59,2.26,32.5,175,170,59,42,Poor
Delhi,New Delhi,Lake,6.72,8.86,5.6,20.52,421,197,6.86,20.41,0.1,26.2,121,89,184,40,Poor
Uttar Pradesh,Lucknow,Reservoir,8.59,9.27,2.97,21.22,88,606,9.13,33.6,2.23,27.5,232,157,201,43,Poor
Karnataka,Bengaluru,River,7.37,4.56,5.65,42.99,512,195,4.99,35.45,2.31,22.8,207,60,30,14,Unsafe
West Bengal,Siliguri,Groundwater,8.01,7.93,1.75,24.52,414,620,7.57,28.61,2.2,25.3,70,167,95,36,Unsafe
West Bengal,Siliguri,Reservoir,7.08,8.32,5.39,21.33,325,419,4.41,16.38,0.98,19.0,69,173,187,52,Poor
Gujarat,Ahmedabad,River,7.13,8.38,5.35,40.25,598,688,5.34,3.4,0.89,20.7,196,85,85,46,Poor
Gujarat,Surat,Lake,7.1,6.05,1.75,22.52,354,776,5.14,19.06,1.4,27.9,101,178,120,44,Poor
Maharashtra,Mumbai,Groundwater,8.36,6.13,3.13,19.96,223,746,6.28,8.27,0.54,21.5,263,40,105,41,Poor
Kerala,Kochi,Reservoir,8.44,5.66,3.49,32.8,113,371,7.47,34.53,0.79,22.3,255,130,131,27,Unsafe
